,Mean,SD,Skewness,Excess Kurtosis,RR ratio
MCHP,0.0011591857023649948,0.020839712507801294,0.24785780012262554,-0.5942124909949267,0.055623881660126384
ROL,0.0005684558675870433,0.010310917021026728,0.21002705228533244,1.0778142765741272,0.0551314559537051
AXP,0.0011130387431702185,0.020207677991689106,1.3088760445363254,6.360299517337514,0.05507999205193108
ROK,0.0009806968736286903,0.0180364189941654,-0.8218377276951349,1.0370882438669309,0.054373147682249774
GLW,0.0008285589733592578,0.015466570495522169,-0.1789737457287626,1.03582395998352,0.05357095637970548
PEG,0.0007499715392254409,0.014015379767490605,-0.23130981202146628,-0.014142078057386431,0.05351061131893396
COST,0.0007296746961481239,0.01379127239252963,1.4814490468836574,6.7155771261405475,0.052908439147599566
MRK,0.0007091534138389433,0.013540262526196348,-0.3668460560894487,1.2807308638173902,0.05237368274558518
TEL,0.0007374344291464603,0.014126913753978464,-0.10832861292209012,0.798291283429494,0.05220067468301643
NEM,0.0011430046011451367,0.022001077703906097,0.3378473016050426,0.5696197777416847,0.05195220963844904
HES,0.0013174625598185129,0.025479161150103444,-0.11625395486613592,0.7302861598560169,0.051707454262604875
CTSH,0.0008365203788839493,0.01641699376707748,0.2513215481961386,1.168900933665527,0.05095454081011477
YUM,0.0004689881033715227,0.009231231386930461,0.20006695865923618,-0.1818892079430574,0.050804500907161106
TMO,0.0007656238619867049,0.01525028645455577,-0.16043555688434102,0.4119042356196494,0.05020390038365394
ICE,0.0006762049500290005,0.013473888793241252,-0.6733976358420756,1.0837410114888417,0.05018632411217445
LKQ,0.0007498038672371746,0.015043068471009868,-0.4849330739496705,-0.15674241637846364,0.04984381136615534
PPG,0.0009507059548809352,0.019207465875142018,0.07518785208060272,0.8073933471038468,0.04949668847837564
MDT,0.0006808533053490716,0.013954811591661764,-0.36620936052395486,0.1954942135182005,0.048789860105018755
VLO,0.0012616078829956663,0.025966114139771623,-0.18907018970855,1.0781061892087402,0.04858670327815028
CE,0.001035909079883586,0.02158812783071423,-0.11883872078674855,0.7110162665077646,0.047985128122585964
TXN,0.0007224438628595279,0.015172491518703575,0.38121869934341485,0.4571942393918622,0.04761537430875807
NUE,0.0011547751903738896,0.024379789746861356,-0.06832213828928696,2.766598724903452,0.04736608487456521
WDC,0.0011867696284945585,0.026071283565290346,1.1241605828051717,1.2887272709737712,0.04552018413372437
EL,0.0007032181990297248,0.015467832253245018,-0.2974696792959017,0.1456016971275984,0.04546326773631746
PGR,0.0007856352161083307,0.01737118258889108,-0.77045930196989,4.694904868142127,0.04522635186684104
FANG,0.0010681560494184932,0.023855197958451282,-0.3029847500731717,0.9880296085709794,0.04477665837352957
PODD,0.0007870175968667373,0.017732166386922193,0.8682550131124009,3.836434461234595,0.04438361222727854
TSLA,0.001973476486940052,0.04547802687964128,-0.32871650075476955,0.6575690814182802,0.04339406571360069
